supplier,url,date,value_gbp,matched_sites,matched_catchments,snippet
Galliford Try Construction Limited,https://www.hanevo.com/hanevo-awarded-budds-farm-contract,2022-01,0,Budds Farm,LANGSTONE HARBOUR,Budds Farm digestion
Galliford Try Construction Limited,https://www.southernwater.co.uk/latest-news/25m-project-to-improve-water-quality-in-the-new-forest/,2024-10,2500000,Boldre,LYMINGTON,£2.5m Boldre WWTW ferric+humus
Barhale Limited,https://www.barhale.co.uk/news/old-assets-to-help-build-new-capacity/,2015-01,12000000,Ashford,STOUR,£12m Ashford WWTW
Edina Group,https://www.edina.eu/news/edina-wins-contract-upgrade-sussex-southern-water-chp-plant,2023-01,0,Goddards Green; Budds Farm; Millbrook; Fullerton; Gravesend,ADUR; LANGSTONE HARBOUR; SOUTHAMPTON WATER; TEST; THAMES,CHP upgrades 5 sites
MID KENT ELECTRICAL ENGINEERING COMPANY LIMITED,https://www.waterbriefing.org/home/company-news/item/10258-new-valves-strengthen-southern-water-pumping-station-resilience,2020-01,85000,Littlehampton,ARUN,£85k pump station valves
Trant Engineering,https://www.trant.co.uk/case-studies/process-and-water/peel-common-wwtw-upgrade,2020-01,0,Peel Common,SOLENT,Peel Common inlet+sludge dewatering
,https://www.southernwater.co.uk/latest-news/work-underway-on-170m-portsmouth-harbour-storm-overflow-reduction-scheme/,2026-02,208000000,Budds Farm; Portsmouth; Gosport; Fareham; Havant; Emsworth,LANGSTONE HARBOUR; PORTSMOUTH HARBOUR; SOLENT; WALLINGTON; LANGSTONE HARBOUR; CHICHESTER HARBOUR,£208m Portsmouth/Havant storm overflow
,https://www.southernwater.co.uk/latest-news/work-underway-to-cut-storm-overflows-and-protect-chichester-harbour/,2025-11,14000000,Bosham; Thornham; Funtington; Emsworth,CHICHESTER HARBOUR; CHICHESTER HARBOUR; CHICHESTER HARBOUR; CHICHESTER HARBOUR,Chichester Harbour scheme
,https://www.southernwater.co.uk/latest-news/cutting-storm-overflows-in-kent/,2025-08,3000000,Queenborough; Sittingbourne; Faversham; Herne Bay; Whitstable,SWALE; SWALE; FAVERSHAM CREEK; NORTH SEA; NORTH SEA,Kent 5-town storm overflow
,https://www.southernwater.co.uk/latest-news/new-storm-overflow-reduction-scheme-for-kent-communities/,2025-09,0,Tunbridge Wells; Bidborough; Tonbridge,MEDWAY; MEDWAY; MEDWAY,TW/Bidborough/Tonbridge storm
,https://www.sussexexpress.co.uk/news/environment/southern-water-marks-early-progress-in-ps15-billion-storm-overflow-reduction-plan-in-sussex-6019079,2025-06,0,Burgess Hill; Bognor Regis; Hurstpierpoint; Fairlight; Lavant,ADUR; ENGLISH CHANNEL; ADUR; ENGLISH CHANNEL; LAVANT,Sussex storm overflow
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/kent/,2025-01,8000000,River Medway area,MEDWAY,£8m Medway investment
,https://www.constructionnews.co.uk/contracts/southern-water-tenders-84m-pipeline-29-09-2025/,2025-09,84000000,Andover; Winchester,TEST; ITCHEN,£84m Andover Link Main
,https://www.kentonline.co.uk/whitstable/news/water-works-upgrade-to-cut-sea-sewage-releases-by-third-291805/,2025-01,100000000,Swalecliffe,NORTH SEA,£100m Swalecliffe WWTW
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/isle-of-wight/,2025-01,99000000,Sandown; Ryde; Cowes; Newport; Calbourne,YAR; IOW STREAMS; MEDINA; MEDINA; IOW STREAMS,£99m IoW
,https://www.portsmouth.co.uk/news/environment/southern-water-unveils-ps103m-plan-to-tackle-sewage-discharges-in-portsmouth-including-installing-water-butts-and-new-drainage-systems-4412179,2024-01,103000000,Eastney; Fort Cumberland; Budds Farm,ENGLISH CHANNEL; PORTSMOUTH HARBOUR; LANGSTONE HARBOUR,£103m Portsmouth SuDS+pumping
,https://havantmatters.org/2024/10/20/littlehampton-effluent-recycling-plant/,2024-10,0,Littlehampton; Ford,ARUN; ARUN,Littlehampton WRP
,https://smartwatermagazine.com/news/southern-water/ps100-million-water-pipeline-project-build-resilience-supplies-southampton,2025-09,100000000,Southampton Link Main; Otterbourne,TEST; ITCHEN,£100m Southampton Link Main
,https://www.southernwater.co.uk/latest-news/30m-upgrade-boost-for-new-forest-wastewater-treatment-works/,2024-10,30000000,Lyndhurst; Sway; Pennington,BEAULIEU; LYMINGTON; LYMINGTON,£30m New Forest WWTW upgrades
,https://www.southernwater.co.uk/latest-news/west-sussex-wastewater-works-gets-21m-upgrade-to-support-new-homes/,2025-01,21000000,Pagham,ENGLISH CHANNEL,£21m Pagham WWTW capacity
,https://www.watermagazine.co.uk/2025/08/04/southern-water-4m-scheme-to-improve-water-quality-in-bognor-regis/,2025-08,4000000,Bognor Regis,ALDINGBOURNE,£4m Bognor storm overflow scheme
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/east-sussex/enhancing-water-quality-around-hastings/,2025-01,41400000,Bexhill and Hastings,ENGLISH CHANNEL,£41.4m Bexhill+Hastings WWTW 2025-30
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/east-sussex/hastings/,2025-01,9300000,Rock-a-Nore; Galley Hill,ENGLISH CHANNEL; ENGLISH CHANNEL,£9.3m Hastings/Bexhill pump upgrades
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/hampshire/,2024-01,3400000,Bursledon,HAMBLE,£3.4m Bursledon-Hamble sewer+Peel Common
,https://waterprojectsonline.com/wp-content/uploads/case_studies/2002/Dover-Folkestone-WwTW-Upgrade-2002.pdf,2002-01,124000000,Dover; Folkestone,DOUR; ENGLISH CHANNEL,£124m Dover+Folkestone WWTW
,https://www.southernwater.co.uk/our-region/improvements-in-your-area/kent/,2025-01,3000000,Beult catchment,BEULT,£3m Beult habitat restoration
,https://www.brightonandhovenews.org/2013/10/15/southern-water-opens-300m-plant-to-treat-brighton-and-hoves-sewage/,2013-10,300000000,Peacehaven,ENGLISH CHANNEL,£300m Peacehaven WWTW (completed 2013)
